date,province,province_id,cumulative_cases,cumulative_deaths,cumulative_recoveries,active_cases,population,deaths_per_100k,day_no,daily_cases,daily_deaths,cases_seven_day_average,deaths_seven_day_average,active_cases_seven_day_average,weekly_cases_total,week_no,cases_per_100k_seven_day_average,Latitude,Longitude
20/06/2021,Eastern Cape,EC,202494,11733,187813,2948,6734001,174.24,455,382,4,350.3,4.9,2342,2452,,5.2,-32.8494,27.4381
20/06/2021,Northern Cape,NC,56678,1304,47126,8248,1292786,100.87,455,308,0,289.7,7.6,8213,2028,,22.4,-28.4572,21.2425
20/06/2021,Limpopo,LP,69537,2517,64651,2369,5852553,43.01,455,408,0,297.1,2.6,1903,2080,,5.1,-23.9,29.45
20/06/2021,North West,NW,86680,2208,74126,10346,4108816,53.74,455,748,60,653.6,18,9949,4575,,15.9,-25.8653,25.6442
20/06/2021,Mpumalanga,MP,88537,1495,83325,3717,4679786,31.95,455,561,0,394.7,3,2845,2763,,8.4,-25.7684,29.4783
20/06/2021,Free State,FS,110296,4662,95368,10266,2928903,159.17,455,362,2,442.1,12.9,9688,3095,,15.1,-29.1,26.2167
20/06/2021,KwaZulu Natal,KZN,346813,10615,327308,8890,11531628,92.05,455,574,1,489.1,7.6,7576,3424,,4.2,-29.5833,30.4167
20/06/2021,Western Cape,WC,308376,12054,284924,11398,7005741,172.06,455,1166,10,1033.4,14.4,9101,7234,,14.8,-33.925,18.425
20/06/2021,Gauteng,GP,553908,12114,482862,58932,15488137,78.21,455,8646,35,6940.9,63,48939,48586,,44.8,-26.2044,28.0416
